INDEX,TR_GOOD,NUM_PHRASE_LINES,NUM_PHRASE_WORDS,WPM,DURATION_MS,BEGIN_TIME,BEGIN_TIME_MS,COMP_END_TIME,COMP_END_TIME_MS,END_TIME,END_TIME_MS,TOLERANCE,END_TRUNCATED
128,0,1,1,250,240,00:05:17.317,317317,00:05:17.557,317557,00:05:17.557,317557,1300,0
129,0,1,8,250,1920,00:05:17.684,317684,00:05:19.604,319604,00:05:19.604,319604,1300,0
130,0,1,5,250,1200,00:05:19.853,319853,00:05:21.053,321053,00:05:20.487,320487,1300,1
131,0,1,2,250,480,00:05:20.487,320487,00:05:20.967,320967,00:05:20.967,320967,1300,0
132,0,1,6,250,1440,00:05:24.258,324258,00:05:25.698,325698,00:05:25.698,325698,1300,0
133,0,1,2,250,480,00:05:26.560,326560,00:05:27.040,327040,00:05:27.040,327040,1300,0
134,0,1,6,250,1440,00:05:28.262,328262,00:05:29.702,329702,00:05:29.702,329702,1300,0
135,0,1,5,250,1200,00:05:31.465,331465,00:05:32.665,332665,00:05:32.665,332665,1300,0
136,0,1,4,250,960,00:05:41.375,341375,00:05:42.335,342335,00:05:42.335,342335,1300,0
137,0,1,7,250,1680,00:05:46.914,346914,00:05:48.594,348594,00:05:47.981,347981,1300,1
138,0,1,8,250,1920,00:05:47.981,347981,00:05:49.901,349901,00:05:49.901,349901,1300,0
139,0,1,1,250,240,00:05:49.950,349950,00:05:50.190,350190,00:05:50.190,350190,1300,0
140,0,1,6,250,1440,00:05:50.217,350217,00:05:51.657,351657,00:05:51.657,351657,1300,0
141,0,1,8,250,1920,00:05:51.919,351919,00:05:53.839,353839,00:05:52.686,352686,1300,1
142,0,1,2,250,480,00:05:52.686,352686,00:05:53.166,353166,00:05:53.166,353166,1300,0
143,0,1,6,250,1440,00:06:04.398,364398,00:06:05.838,365838,00:06:05.838,365838,1300,0
144,0,1,7,250,1680,00:06:07.568,367568,00:06:09.248,369248,00:06:09.248,369248,1300,0
145,0,1,3,250,720,00:06:11.972,371972,00:06:12.692,372692,00:06:12.692,372692,1300,0
146,0,1,7,250,1680,00:06:13.273,373273,00:06:14.953,374953,00:06:14.953,374953,1300,0
147,0,1,3,250,720,00:06:15.142,375142,00:06:15.862,375862,00:06:15.862,375862,1300,0
148,0,1,7,250,1680,00:06:18.045,378045,00:06:19.725,379725,00:06:19.725,379725,1300,0
149,0,1,6,250,1440,00:06:20.514,380514,00:06:21.954,381954,00:06:21.954,381954,1300,0
150,0,1,2,250,480,00:06:25.052,385052,00:06:25.532,385532,00:06:25.532,385532,1300,0
151,0,1,6,250,1440,00:06:32.226,392226,00:06:33.666,393666,00:06:32.726,392726,1300,1
152,0,1,3,250,720,00:06:32.726,392726,00:06:33.446,393446,00:06:33.446,393446,1300,0
153,0,1,6,250,1440,00:06:34.595,394595,00:06:36.035,396035,00:06:36.035,396035,1300,0
154,0,1,6,250,1440,00:06:38.131,398131,00:06:39.571,399571,00:06:39.571,399571,1300,0
155,0,1,4,250,960,00:06:40.300,400300,00:06:41.260,401260,00:06:41.260,401260,1300,0
156,0,1,1,250,240,00:06:43.904,403904,00:06:44.144,404144,00:06:44.144,404144,1300,0
157,0,1,5,250,1200,00:06:47.841,407841,00:06:49.041,409041,00:06:49.041,409041,1300,0
158,0,1,6,250,1440,00:06:49.376,409376,00:06:50.816,410816,00:06:50.816,410816,1300,0
159,0,1,2,250,480,00:06:51.245,411245,00:06:51.725,411725,00:06:51.725,411725,1300,0
160,0,1,7,250,1680,00:06:54.781,414781,00:06:56.461,416461,00:06:55.983,415983,1300,1
161,0,1,7,250,1680,00:06:55.983,415983,00:06:57.663,417663,00:06:57.663,417663,1300,0
162,0,1,5,250,1200,00:06:59.319,419319,00:07:00.519,420519,00:07:00.519,420519,1300,0
163,0,1,7,250,1680,00:07:02.356,422356,00:07:04.036,424036,00:07:04.036,424036,1300,0
164,0,1,7,250,1680,00:07:04.324,424324,00:07:06.004,426004,00:07:06.004,426004,1300,0
165,0,1,5,250,1200,00:07:06.460,426460,00:07:07.660,427660,00:07:07.660,427660,1300,0
166,0,1,1,250,240,00:07:08.028,428028,00:07:08.268,428268,00:07:08.268,428268,1300,0
167,0,1,6,250,1440,00:07:10.697,430697,00:07:12.137,432137,00:07:12.137,432137,1300,0
168,0,1,7,250,1680,00:07:15.669,435669,00:07:17.349,437349,00:07:16.970,436970,1300,1
169,0,1,1,250,240,00:07:16.970,436970,00:07:17.210,437210,00:07:17.210,437210,1300,0
170,0,1,6,250,1440,00:07:17.337,437337,00:07:18.777,438777,00:07:18.777,438777,1300,0
171,0,1,8,250,1920,00:07:19.640,439640,00:07:21.560,441560,00:07:20.541,440541,1300,1
172,0,1,2,250,480,00:07:20.541,440541,00:07:21.021,441021,00:07:21.021,441021,1300,0
173,0,1,1,250,240,00:07:21.708,441708,00:07:21.948,441948,00:07:21.948,441948,1300,0
174,0,1,7,250,1680,00:07:27.681,447681,00:07:29.361,449361,00:07:28.882,448882,1300,1
175,0,1,3,250,720,00:07:28.882,448882,00:07:29.602,449602,00:07:29.602,449602,1300,0
176,0,1,4,250,960,00:07:33.787,453787,00:07:34.747,454747,00:07:34.747,454747,1300,0
177,0,1,6,250,1440,00:07:34.888,454888,00:07:36.328,456328,00:07:36.328,456328,1300,0
178,0,1,8,250,1920,00:07:38.492,458492,00:07:40.412,460412,00:07:40.194,460194,1300,1
179,0,1,5,250,1200,00:07:40.194,460194,00:07:41.394,461394,00:07:41.394,461394,1300,0
180,0,1,4,250,960,00:07:43.330,463330,00:07:44.290,464290,00:07:44.290,464290,1300,0
181,0,1,4,250,960,00:07:46.600,466600,00:07:47.560,467560,00:07:47.560,467560,1300,0
182,0,1,4,250,960,00:07:48.936,468936,00:07:49.896,469896,00:07:49.896,469896,1300,0
183,0,1,6,250,1440,00:07:56.076,476076,00:07:57.516,477516,00:07:57.516,477516,1300,0
184,0,1,2,250,480,00:07:59.213,479213,00:07:59.693,479693,00:07:59.693,479693,1300,0
185,0,1,7,250,1680,00:08:02.783,482783,00:08:04.463,484463,00:08:04.463,484463,1300,0
186,0,1,6,250,1440,00:08:19.633,499633,00:08:21.073,501073,00:08:21.073,501073,1300,0
187,0,1,2,250,480,00:08:21.134,501134,00:08:21.614,501614,00:08:21.614,501614,1300,0
188,0,1,6,250,1440,00:08:22.002,502002,00:08:23.442,503442,00:08:23.442,503442,1300,0
189,0,1,7,250,1680,00:08:23.737,503737,00:08:25.417,505417,00:08:25.272,505272,1300,1
190,0,1,6,250,1440,00:08:25.272,505272,00:08:26.712,506712,00:08:26.712,506712,1300,0
191,0,1,6,250,1440,00:08:27.574,507574,00:08:29.014,509014,00:08:29.014,509014,1300,0
192,0,1,6,250,1440,00:08:30.110,510110,00:08:31.550,511550,00:08:31.550,511550,1300,0
193,0,1,6,250,1440,00:08:32.412,512412,00:08:33.852,513852,00:08:33.852,513852,1300,0
194,0,1,4,250,960,00:08:38.218,518218,00:08:39.178,519178,00:08:39.178,519178,1300,0
195,0,1,7,250,1680,00:08:40.687,520687,00:08:42.367,522367,00:08:42.367,522367,1300,0
196,0,1,4,250,960,00:08:42.923,522923,00:08:43.883,523883,00:08:43.883,523883,1300,0
197,0,1,2,250,480,00:08:45.192,525192,00:08:45.672,525672,00:08:45.672,525672,1300,0
198,0,1,7,250,1680,00:08:46.293,526293,00:08:47.973,527973,00:08:47.973,527973,1300,0
199,0,1,6,250,1440,00:08:48.695,528695,00:08:50.135,530135,00:08:50.063,530063,1300,1
200,0,1,4,250,960,00:08:50.063,530063,00:08:51.023,531023,00:08:51.023,531023,1300,0
201,0,1,9,250,2159,00:08:51.331,531331,00:08:53.490,533490,00:08:53.490,533490,1300,0
202,0,1,1,250,240,00:08:53.534,533534,00:08:53.774,533774,00:08:53.774,533774,1300,0
203,0,1,5,250,1200,00:08:54.001,534001,00:08:55.201,535201,00:08:55.201,535201,1300,0
204,0,1,5,250,1200,00:08:56.103,536103,00:08:57.303,537303,00:08:57.303,537303,1300,0
205,0,1,6,250,1440,00:09:00.574,540574,00:09:02.014,542014,00:09:02.014,542014,1300,0
206,0,1,5,250,1200,00:09:02.609,542609,00:09:03.809,543809,00:09:03.809,543809,1300,0
207,0,1,2,250,480,00:09:05.179,545179,00:09:05.659,545659,00:09:05.659,545659,1300,0
208,0,1,6,250,1440,00:09:06.547,546547,00:09:07.987,547987,00:09:07.987,547987,1300,0
209,0,1,7,250,1680,00:09:08.682,548682,00:09:10.362,550362,00:09:10.362,550362,1300,0
210,0,1,3,250,720,00:09:11.852,551852,00:09:12.572,552572,00:09:12.572,552572,1300,0
211,0,1,6,250,1440,00:09:14.421,554421,00:09:15.861,555861,00:09:15.822,555822,1300,1
212,0,1,8,250,1920,00:09:15.822,555822,00:09:17.742,557742,00:09:17.742,557742,1300,0
213,0,1,6,250,1440,00:09:17.958,557958,00:09:19.398,559398,00:09:18.792,558792,1300,1
214,0,1,1,250,240,00:09:18.792,558792,00:09:19.032,559032,00:09:19.032,559032,1300,0
215,0,1,6,250,1440,00:09:23.864,563864,00:09:25.304,565304,00:09:25.304,565304,1300,0
216,0,1,4,250,960,00:09:25.799,565799,00:09:26.759,566759,00:09:26.759,566759,1300,0
217,0,1,4,250,960,00:09:30.137,570137,00:09:31.097,571097,00:09:31.097,571097,1300,0
218,0,1,7,250,1680,00:09:31.171,571171,00:09:32.851,572851,00:09:32.206,572206,1300,1
219,0,1,7,250,1680,00:09:32.206,572206,00:09:33.886,573886,00:09:33.240,573240,1300,1
220,0,1,6,250,1440,00:09:33.240,573240,00:09:34.680,574680,00:09:34.308,574308,1300,1
221,0,1,2,250,480,00:09:34.308,574308,00:09:34.788,574788,00:09:34.788,574788,1300,0
222,0,1,7,250,1680,00:09:35.876,575876,00:09:37.556,577556,00:09:36.910,576910,1300,1
223,0,1,8,250,1920,00:09:36.910,576910,00:09:38.830,578830,00:09:37.945,577945,1300,1
224,0,1,2,250,480,00:09:37.945,577945,00:09:38.425,578425,00:09:38.425,578425,1300,0
225,0,1,7,250,1680,00:09:38.979,578979,00:09:40.659,580659,00:09:40.659,580659,1300,0
226,0,1,4,250,960,00:09:45.485,585485,00:09:46.445,586445,00:09:46.445,586445,1300,0
227,0,1,6,250,1440,00:09:47.454,587454,00:09:48.894,588894,00:09:48.894,588894,1300,0
